comments,tone
Mubashair to be bohat jald zalail ho ga shahid Masood ke tarha.... to be roi ga Pir ky jazbati howa ta..... minafiq toly ky sardar,Negative
Hahahhahhahaha ,Neutral
Hum bi parh sakty hn na,Neutral
Bharti Riyasat Mein Shadeed Barishon Ky Bais Mukhtalif Hadsat Mein Halakton Ki Tadad 40 Ho Gai ,Negative
Imran khan koi prim manister nahi ha our na koi sarkari officer hai saqib nisar k pass jao,Neutral
Ya Allah shami musalmano ki madad ferma,Positive
Dr Asim Ki University Or Hospital Ka Record Talab Ker Lia ,Negative
Meri Jan ma ye sab behas pehly hi kar chuka hon bohat sary politicians se balky larai ho chuki ha,Negative
Level levl yara cha gya hay,Positive
Kashmiris Deserve Solidarity Of World Community.,Neutral
zabrdust bhai jan,Positive
Nasir Iqbal: Abhi guzishta dinon main ne France mein hone wali World team championship mein shirkat kit hi,Neutral
Yasir Khilji dear main Physical Therapy or medical treatment krta hon,Neutral
Apne Yadgar Lamhat ko Shandar Banain ,Positive
Papa dayo aur mama dayo k to charan sparsh krne chaiye itne lambey namoney k liye 😝😂,Neutral
Mohabbat ki hai ...koi gunah nhi kia to esy halat bna di iss bechary ki,Negative
Mashallah iqrar bhai bht pyary lag rhy hn ap,Positive
 Asal baat ye hai ke intezamiya kis tarha Judges ko le kar ati ha,Neutral
Aj ka dars kamal hai. Ma sha Allah.,Positive
Ali Bhai AP nai to koi nahi,Negative
:D ap k suhbat n bigara h,Negative
Roshan aur Hashim Pakistan ke ibtedai dino ke do super star thay,Positive
Jab ye sorat e haal ho gi to nojawan khelari kis tarah samne aayen ge,Negative
Allah salamat rakhy hameshan...,Positive
 Radio par wo zehni aazmaiysh ke program ke meyzban the,Neutral
Mein bol doon gi mein tou sachi muchi gulshan ke qareeb se hi aati hoon,Neutral
Stats r geo mn to waqai nazar ni aya tha :D,Negative
mujhy shook hy k m koi aik wazifa aisaa hoo jo hr waqat parhta rahooo.,Neutral
"ahaahaaha!woh din yaad hai jab tu academy nahi aa raha tha and i said jaldi aaja, new bachi ai hai!and OUT OF NOWHERE ALI SHOWED UP!",Negative
Garmi Ki Nayi Lehar Budh Se Para 40 Degree Tak Pohanch Sakta Hai Garmi Ki Lehar 7 October Tak Jaari Rehne Ka Imkaan,Negative
Touba touba ab wo aesa bhi nahi dikhta? ,Negative
Sary ik hi thali k chatty batty hin,Negative
Woh khud banayega toh achi hi banegi. ,Positive
Keep this activity in future too girl,Neutral
Kyunkeh class nine ke Karachi board ke exams tak men bhi Sindhi compulsory hai.,Neutral
Hahaha da nan paper um dasey wa,Neutral
Soch Lo :-D,Neutral
Sastay ganno wala squad for lyf. Miss you ,Neutral
Pakistaniyo ye kya tha bhai ab???,Neutral
Kia kahon yar bs,Negative
Inho ne kaha ke main janti hon ke music aik mushkil kaam hai aur is ke liye music ki samajh bojh hona bohat zarori hai,Positive
aj bata dain hamari to kal hai,Neutral
Yeh intehai hairer ki baat thi ke woh (players) khelari jise apne watan mein khelne ki tamam sahooltein mayasser nahein thein duniya ke number aik(no one) khelari (player) ko  harane mein kamyab ho gaya,Positive
kadi nhi kita,Neutral
Step Father ki hesiyat se bhi Imran bohat ache hain.,Positive
 Hukumat ne sugar mil malikan ko qematein kam karne par majbor nahi kiya balke neb ne tehqiqat karana chahi to Sadar Perviz Musharaf ke humum par ise bhi rok deya gaya kyun ke is mein ba asar hukumati ehalkar mulavis the aur Wazirati kursiyon par barjaman the,Negative
"Chundrigar 1938 se 1945 tak Bombay assembly mein Muslim league assembly party ke deputy leader rahe, is ke ilawa aap 1938 mein Bombay Muslim league ke president bhi muntakhib hue the aur is mansab par 1945 tak faiyz rahe",Positive
Hahhahahahaha That much relatable Salay jindagi Barbaad kardya,Negative
Hahaha ye to aap ko he pta ho,Neutral
Admin ap is new drama ki post kia karain again page ko start karain plzzz,Neutral
